4258000DEF789000ElectroWorld000ARG0005732000Pierre Dupont000**** **** **** 9576000Discover000CUST0030001170.510001170.51000USD000USD0001.00000002025-06-110002025-06-110002025-06-11000TID670000Buenos Aires000AR000Contactless000AUTH9603000Reversal000Approved000REF87540000002025-06-21 19:44:41
4260000GHI654000CafeCentral000ARG0005812000Carlos Lopez000**** **** **** 7930000Visa000CUST001000427.82000370.15000USD000ARS0000.86520002025-06-090002025-06-090002025-06-09000TID902000Cordoba000AR000Contactless000AUTH2384000Refund000Approved000REF4313 | Fraud suspected, under review0000002025-06-21 19:44:41
4265000LMN321000TechStore000GER0005732000Luisa Fernandez000**** **** **** 9609000Amex000CUST050000213.55000244.49000EUR000ARS0001.14490002025-06-100002025-06-100002025-06-10000TID370000Berlin000DE000Swipe000AUTH8893000Refund000Approved000REF1579 | Refund processed0000002025-06-21 19:44:41
4267000XYZ456000SuperMart000USA0005411000Pierre Dupont000**** **** **** 7499000Amex000CUST039000246.27000300.10000ARS000USD0001.21860002025-06-110002025-06-110002025-06-11000TID784000New York000US000Chip000AUTH7272000Refund000Approved000REF3165 | Fraud suspected, under review0000002025-06-21 19:44:41
4272000GHI654000CafeCentral000ARG0005812000John Doe000**** **** **** 7274000Discover000CUST04000037.5100029.18000ARS000USD0000.77800002025-06-100002025-06-100002025-06-10000TID166000Cordoba000AR000Contactless000AUTH1635000Reversal000Approved000REF8802 | Fraud suspected, under review0000002025-06-21 19:44:41
4275000GHI654000CafeCentral000ARG0005812000David Wilson000**** **** **** 5803000Discover000CUST017000158.24000158.24000EUR000EUR0001.00000002025-06-100002025-06-100002025-06-10000TID814000Cordoba000AR000Swipe000AUTH1333000Reversal000Approved000REF9754 | Fraud suspected, under review0000002025-06-21 19:44:41
4277000XYZ456000SuperMart000USA0005411000Michael Johnson000**** **** **** 4526000Discover000CUST0370006.620006.62000EUR000EUR0001.00000002025-06-100002025-06-100002025-06-10000TID812000New York000US000Contactless000AUTH1113000Purchase000Approved000REF3714 | Manual approval required0000002025-06-21 19:44:41
4281000LMN321000TechStore000GER0005732000Carlos Lopez000**** **** **** 9182000Discover000CUST031000338.64000324.76000USD000ARS0000.95900002025-06-100002025-06-100002025-06-10000TID349000Berlin000DE000Chip000AUTH4018000Reversal000Approved000REF5031 | Fraud suspected, under review0000002025-06-21 19:44:41
4282000DEF789000ElectroWorld000ARG0005732000Pierre Dupont000**** **** **** 6361000Amex000CUST032000281.91000314.39000EUR000ARS0001.11520002025-06-090002025-06-090002025-06-09000TID726000Buenos Aires000AR000Chip000AUTH2872000Reversal000Approved000REF9725 | Manual approval required0000002025-06-21 19:44:41
4284000XYZ456000SuperMart000USA0005411000Carlos Lopez000**** **** **** 7628000Visa000CUST0440001.580001.54000USD000EUR0000.97680002025-06-100002025-06-100002025-06-10000TID290000New York000US000Swipe000AUTH6473000Refund000Approved000REF59790000002025-06-21 19:44:41
4285000LMN321000TechStore000GER0005732000David Wilson000**** **** **** 3837000Mastercard000CUST0380001400.280001200.46000EUR000USD0000.85730002025-06-100002025-06-100002025-06-10000TID905000Berlin000DE000Swipe000AUTH5778000Purchase000Approved000REF9490 | Offline transaction0000002025-06-21 19:44:41
4292000XYZ456000SuperMart000USA0005411000Emily Davis000**** **** **** 2695000Visa000CUST007000785.35000629.62000USD000EUR0000.80170002025-06-090002025-06-090002025-06-09000TID506000New York000US000Chip000AUTH9303000Refund000Approved000REF7769 | Offline transaction0000002025-06-21 19:44:41
4298000LMN321000TechStore000GER0005732000Ana Garcia000**** **** **** 5980000Amex000CUST031000972.630001078.35000EUR000USD0001.10870002025-06-110002025-06-110002025-06-11000TID206000Berlin000DE000Swipe000AUTH2009000Reversal000Approved000REF2066 | Offline transaction0000002025-06-21 19:44:41
4309000XYZ456000SuperMart000USA0005411000Emily Davis000**** **** **** 2604000Discover000CUST0070001180.650001417.13000USD000ARS0001.20030002025-06-100002025-06-100002025-06-10000TID261000New York000US000Chip000AUTH1359000Refund000Approved000REF3728 | Manual approval required0000002025-06-21 19:44:41
4324000GHI654000CafeCentral000ARG0005812000Pierre Dupont000**** **** **** 2448000Mastercard000CUST045000366.70000286.06000EUR000USD0000.78010002025-06-090002025-06-090002025-06-09000TID571000Cordoba000AR000Contactless000AUTH3886000Reversal000Approved000REF2086 | Manual approval required0000002025-06-21 19:44:41
4331000LMN321000TechStore000GER0005732000Luisa Fernandez000**** **** **** 1081000Visa000CUST042000993.90000764.31000EUR000ARS0000.76900002025-06-100002025-06-100002025-06-10000TID887000Berlin000DE000Chip000AUTH7109000Purchase000Approved000REF6280 | Offline transaction0000002025-06-21 19:44:41
